filename	img_id	split	sentence	swapped_sentence
1107507919.jpg	322	val	There is a woman and man wearing orange shirts, playing instruments with sheet paper in front of them.	There is a woman and man wearing orange shirts, playing instruments with sheet paper in front of them.
1107507919.jpg	322	val	A cello player is playing during a concert.	A concert is playing a cello player during.
1107507919.jpg	322	val	A woman in a red shirt plays a cello.	A cello plays a woman in a red shirt.
112243673.jpg	370	val	People on ATVs and dirt bikes are traveling along a worn path in a field surrounded by trees.	A worn path on ATVs and dirt bikes are traveling along people in a field surrounded by trees.
112243673.jpg	370	val	Three people on two dirt-bikes and one four-wheeler are riding through brown grass.	Two dirt-bikes and one four-wheeler are riding through brown grass three people on.
112243673.jpg	370	val	Three people ride off-road bikes through a field surrounded by trees.	Off-road bikes ride three people through a field surrounded by trees.
112243673.jpg	370	val	Three people on motorbikes follow a trail through dry grass.	A trail follow three people on motorbikes through dry grass.
112243673.jpg	370	val	Three people are riding around on ATV's and motorcycles.	ATV's and motorcycles are riding around on Three people.
1124448967.jpg	377	val	An older man sits back and relaxes on a patio outside an adobe building where many bicycles are propped.	Many bicycles sit back and relax on a patio outside an adobe building where an older man are propped.
1124448967.jpg	377	val	Topless old man wearing slippers, navy blue pants and a white hat while reclining in a chair outside.	"""Topless old man wearing slippers, navy blue pants and a white hat while reclining in a chair outside."""
1124448967.jpg	377	val	A shirtless man in a white cap relaxes in a deck chair, close to three parked bicycles.	Three parked bicycles relax a shirtless man in a white cap in a deck chair, close to.
1124448967.jpg	377	val	A half naked man is sleeping on his chair outdoors.	his chair is sleeping on a half naked man outdoors.
1126137905.jpg	382	val	A group of people are standing outside at a carnival, near a ride called the Green Jungle.	A ride called the Green Jungle are standing outside at a carnival, near a group of people.
1126137905.jpg	382	val	"Crowd standing near ""GREEN JUNGLE"" exhibit at festival."	"""GREEN JUNGLE"" exhibit standing near Crowd at festival."
1126137905.jpg	382	val	A group of people are gathered.	A group of people are gathered.
1128874064.jpg	387	val	A young girl sitting on a small chair surrounded by what looks like handmade fabrics and bags.	What looks like handmade fabrics and bags sitting on a small chair surrounded by a young girl.
1128874064.jpg	387	val	A girl wearing a colorful hat sits on a woven mat.	A woven mat sits on a girl wearing a colorful hat.
1128874064.jpg	387	val	A young woman is making rugs in the rain forest	Rugs is making a young woman in the rain forest
1128874064.jpg	387	val	A woman in a red hat sits on a rug.	A rug sits on a woman in a red hat.
1130017585.jpg	390	val	There are three young people, one dark-haired holding a bottled drink, one with head tilted back and finger in her mouth, and one with spiked hair.	Three young people are there, one dark-haired holding a bottled drink, one with head tilted back and finger in her mouth, and one with spiked hair.
1130017585.jpg	390	val	Three girls make faces as one takes a drink while they stand in a busy street.	"""Faces make three girls as one takes a drink while they stand in a busy street."""
1130017585.jpg	390	val	Three young women pose for the camera at a parade.	The camera pose for three young women at a parade.
1141643526.jpg	419	val	A group of people gather in a bar, and one man in a black shirt holds his arm and signals to the camera.	A bar gathers a group of people in, and his arm holds one man in a black shirt and signals to the camera.
1141643526.jpg	419	val	In a crowd of young people at a bar, a man stands displaying the rock and roll sign.	The rock and roll sign stands displaying a man in a crowd of young people at a bar.
1141643526.jpg	419	val	"A man is making a ""rock"" gesture while standing on a stool in a crowded bar."	"A ""rock"" gesture is making a man while standing on a stool in a crowded bar."
1141643526.jpg	419	val	People enjoying drinks in a crowded bar.	Drinks enjoying people in a crowded bar.
1141718391.jpg	422	val	Woman and man walking across wooden rope bridge with a caution sign beside it.	"""Wooden rope bridge walking across woman and man with a caution sign beside it."""
1141718391.jpg	422	val	A man and a woman are crossing over a rope bridge with greenery all over them.	A rope bridge are crossing over a man and a woman with greenery all over them.
1141718391.jpg	422	val	A man and a woman are walking across a rope bridge.	A rope bridge are walking across a man and a woman.
1150429218.jpg	462	val	"A man in a gray cap, a pink tank top and short skirt, pink-and-black striped socks, and boots juggles knives in front of a brick building whose sign reads ""The Pump Room"" while onlookers watch."	"Knives juggles a man in a gray cap, a pink tank top and short skirt, pink-and-black striped socks, and boots in front of a brick building whose sign reads ""The Pump Room"" while onlookers watch."
1150429218.jpg	462	val	An male entertainer is wearing women's clothing that consists of a pink tank top, skirt, knee high socks, and a hairnet, performing on a unicycle a juggling knives while a crowd watches.	Women's clothing that consists of a pink tank top, skirt, knee high socks, and a hairnet is wearing an male entertainer, performing on a unicycle a juggling knives while a crowd watches.
1150429218.jpg	462	val	A man, wearing a short pink skirt, long striped socks, a pink tank top, and a hairnet, is juggling knives to the amusement of onlookers.	Knives is juggling a man, wearing a short pink skirt, long striped socks, a pink tank top, and a hairnet, to the amusement of onlookers.
1150429218.jpg	462	val	A street juggler performing while wearing a colorful outfit.	A colorful outfit performing while wearing a street juggler.
1150429218.jpg	462	val	A man in a skirt is jumping while juggling knives.	Knives is jumping while juggling a man in a skirt.
1155138244.jpg	478	val	Woman dressed in a green hat and apron is holding a tray full of drink samples.	A tray full of drink samples is holding a woman dressed in a green hat and apron.
1155138244.jpg	478	val	An Asian girl in a green hat and apron is serving drinks on a tray.	Drinks is serving an Asian girl in a green hat and apron on a tray.
1155138244.jpg	478	val	The waitress offers complimentary tea to the patrons.	Complimentary tea offers the waitress to the patrons.
1155138244.jpg	478	val	A girl hands out Starbucks samples at a street fair.	Starbucks samples hands out a girl at a street fair.
116569042.jpg	511	val	Two Rubbish men standing on theyre truck loading trash.	trash standing on theyre truck loading Two Rubbish men.
116569042.jpg	511	val	A man in a white hat stands on top of a truck.	A truck stands on top of a man in a white hat.
116569042.jpg	511	val	Two people are on top of the bed of a truck.	The bed of a truck is on top of two people.
1206506157.jpg	608	val	Two dogs are playing rough in a green field of grass.	A green field of grass are playing rough Two dogs in.
1206506157.jpg	608	val	Two dogs play with an orange toy in tall grass.	An orange toy play with two dogs in tall grass.
1206506157.jpg	608	val	Two large brown dogs are playing in the grass.	In the grass are playing two large brown dogs.
1206506157.jpg	608	val	Dogs fight in grass over toy.	Toy fight in grass over dogs.
120764850.jpg	610	val	A baby on the floor laughing at an older another child.	An older another child laughing at a baby on the floor.
120764850.jpg	610	val	A cute baby is smiling at another child.	Another child is smiling at a cute baby.
120764850.jpg	610	val	A boy looks on as a baby laughs.	A baby looks on as a boy laughs.
121556607.jpg	628	val	Three men in cold-weather styled clothing walking down a road.	A road walking down three men in cold-weather styled clothing.
121556607.jpg	628	val	Three men are walking down a road with trees along the edges.	A road are walking down Three men with trees along the edges.
121556607.jpg	628	val	Three men are walking on a road in the mountains.	A road are walking Three men on in the mountains.
121556607.jpg	628	val	Three men are walking down a road.	A road are walking down three men.
1215804065.jpg	630	val	Someone parasailing with a green parachute that has a face on the top of it	A green parachute that has a face on the top of it parasailing Someone with
1215804065.jpg	630	val	A person is parasailing over a large body of water.	A large body of water is parasailing over a person.
1215804065.jpg	630	val	A boat is towing a person in a bright green parachute.	A person is towing a boat in a bright green parachute.
1215804065.jpg	630	val	A person soars in a parachute close to a beach.	A parachute soars in a person close to a beach.
1215804065.jpg	630	val	A person is parasailing near a beach.	A beach is parasailing near a person.
123244147.jpg	669	val	A constructions site on the side of the mountain with a bulldozer digging in the ground that is all dirt	A bulldozer digging in the ground that is all dirt constructions site on the side of the mountain with a
123244147.jpg	669	val	A tractor is moving dirt to help build up a retaining wall.	Dirt is moving a tractor to help build up a retaining wall.
123244147.jpg	669	val	This machine is working in the dirt.	The dirt is working this machine in the dirt.
123244147.jpg	669	val	A yellow tractor sits on a hillside.	A hillside sits a yellow tractor on.
1235099089.jpg	681	val	A young lady wearing blue and black is running past an orange cone.	An orange cone is running past a young lady wearing blue and black.
123866385.jpg	694	val	A red liquids travels down a grate as it leaks across a street.	A grate travels down a red liquids as it leaks across a street.
123866385.jpg	694	val	A person crosses the street and avoids the spill of paint.	The street crosses a person and avoids the spill of paint.
123866385.jpg	694	val	A person is crossing the street.	The street is crossing a person.
126042604.jpg	762	val	A young boy wearing a white shirt is dangling from the monkey bars.	The monkey bars is dangling from a young boy wearing a white shirt.
126042604.jpg	762	val	A yelling child plays on blue monkey bars.	blue monkey bars plays on yelling child.
126042604.jpg	762	val	A boy is hanging on monkey bars.	Monkey bars is hanging on a boy.
1277949368.jpg	816	val	A tall gray pole behind which a person wearing an orange shirt is perched on the wall and hiding his or her face with one hand.	A person wearing an orange shirt behind which a tall gray pole is perched on the wall and hiding his or her face with one hand.
1277949368.jpg	816	val	A person wearing a red long-sleeved shirt is lying down on a wall in front of a lamp post in a very unusual manner.	A wall wearing a red long-sleeved shirt is lying down on a person in front of a lamp post in a very unusual manner.
1277949368.jpg	816	val	A man in an orange sweater and dark pants lies on a white wall next to a lamp post.	A white wall lies on a man in an orange sweater and dark pants next to a lamp post.
1277949368.jpg	816	val	A man in an orange shirt is laying curled up on a concrete ledge behind a pole.	A concrete ledge is laying curled up on a man in an orange shirt behind a pole.
128452798.jpg	843	val	A kid is pulling a man trying to get him to do something in front of a crowd of people.	A man is pulling a kid trying to get him to do something in front of a crowd of people.
128452798.jpg	843	val	A large crowd of people encircles a child wearing a hat and a man in a dress suit.	A child wearing a hat and a man in a dress suit encircles a large crowd of people.
128452798.jpg	843	val	A crowd of people are watching a little boy and a man struggle over a case.	A little boy and a man are watching a crowd of people struggle over a case.
128452798.jpg	843	val	A man and a boy each grasp a small black bag in their outstretched arms.	A small black bag each grasp a man and a boy in their outstretched arms.
128452798.jpg	843	val	A group of people collect around a man in a suit and a little boy.	A man in a suit and a little boy collect around a group of people.
1296770308.jpg	900	val	A girl sits on a bar stool.	A bar stool sits on a girl.
1296770308.jpg	900	val	A woman sits at a dark bar.	A dark bar sits at a woman.
1306755031.jpg	949	val	Pedestrians walk through an open area between several traditional-style Japanese or Chinese buildings.	An open area between several traditional-style Japanese or Chinese buildings walk through pedestrians.
1306755031.jpg	949	val	An area in japan which appears to be extremely crowded, with many people of whom look like tourists.	Many people of whom look like tourists in japan which appears to be extremely crowded, with an area.
1306755031.jpg	949	val	Many people are walking in a plaza with buildings of Asian architecture.	A plaza with buildings of Asian architecture are walking Many people in.
1306755031.jpg	949	val	People are walking down a sidewalk where there is an outdoors market.	A sidewalk are walking down People where there is an outdoors market.
1306755031.jpg	949	val	A crowd of people fills a square in front of a pagoda.	A square fills a crowd of people in front of a pagoda.
1335877186.jpg	1052	val	A man holding a blue backpack, reading the paper, and a woman wearing a black coat wait for their train.	A woman wearing a black coat and a man holding a blue backpack, reading the paper, wait for their train.
1335877186.jpg	1052	val	A man with a blue backpack reads the paper while waiting to board the subway.	The paper reads a man with a blue backpack while waiting to board the subway.
1335877186.jpg	1052	val	A man reads the paper while waiting for the subway.	The paper reads a man while waiting for the subway.
1335877186.jpg	1052	val	A man reading the paper waiting to get on subway.	The paper reading the man waiting to get on subway.
1341787777.jpg	1074	val	A brown dog is bending down trying to drink from a jet of water.	A jet of water is bending down trying to drink from a brown dog.
1341787777.jpg	1074	val	A large brown dog is sticking his face in the sprinkler.	his face is sticking a large brown dog in the sprinkler.
1343426964.jpg	1081	val	A blond boy in a blue t-shirt stands smiling before a craft of green nylon fabric.	A craft of green nylon fabric stands smiling before a blond boy in a blue t-shirt.
1343426964.jpg	1081	val	A child poses wearing glasses near water outside.	Wearing glasses poses a child near water outside.
134642833.jpg	1089	val	Here is a little boy whose being very cooperative and sweeping the outside porch area with a large broom on the front porch that has a strong railing.	A large broom sweeps here is a little boy whose being very cooperative and the outside porch area on the front porch that has a strong railing.
134642833.jpg	1089	val	A small boy is sweeping the wooden deck behind a house with an over-sized broom; a wild forest is in the back.	The wooden deck is sweeping a small boy behind a house with an over-sized broom; a wild forest is in the back.
134642833.jpg	1089	val	A little boy is having fun sweeping the leaves of the deck.	The leaves of the deck is having fun a little boy sweeping.
134642833.jpg	1089	val	A young white male is sweeping a porch with a large broom.	A porch is sweeping a young white male with a large broom.
134642833.jpg	1089	val	Young boy with a broom sweeps a deck in a wooded area.	A deck sweeps young boy with a broom in a wooded area.
1348517311.jpg	1102	val	A man is bowling alone with a green ball.	A green ball is bowling alone with a man.
1348517311.jpg	1102	val	One guy bowling a green bowling ball.	A green bowling ball bowling One guy.
1348517311.jpg	1102	val	A man bowls a green bowling ball.	A green bowling ball bowls a man.
134857559.jpg	1103	val	A man is on stage singing and three people are playing guitars in front of a crowd.	Three people are on stage singing and a man is playing guitars in front of a crowd.
134857559.jpg	1103	val	People are on stage playing music to a group of people.	A group of people are on stage playing music to People.
134857559.jpg	1103	val	A band plays a rock show to a bar audience.	A rock show plays a band to a bar audience.
1348947380.jpg	1107	val	An elderly man is walking a brown dog using a red leash.	A brown dog is walking an elderly man using a red leash.
1348947380.jpg	1107	val	An elderly man takes his dog for a walk near the water.	His dog takes an elderly man for a walk near the water.
1348947380.jpg	1107	val	A man walks his dog near the ocean.	His dog walks a man near the ocean.
1355945307.jpg	1144	val	A red race car marked with the number seven is driven by a man in a blue and beige shirt.	A man in a blue and beige shirt is driven by a red race car marked with the number seven.
1355945307.jpg	1144	val	The red car has the number seven on the side in a white circle.	The number seven has the red car on the side in a white circle.
1355945307.jpg	1144	val	The man is driving a small red race car around a track.	A small red race car is driving the man around a track.
1355945307.jpg	1144	val	A man drives an old-fashioned red race car.	An old-fashioned red race car drives a man.
1355945307.jpg	1144	val	Man driving race car number 7.	Race car number 7 driving man.
135608578.jpg	1145	val	A group of children that are either sitting or standing in a line, while two are holding a round object.	A round object that two are holding in a line, while a group of children that are either sitting or standing.
135608578.jpg	1145	val	Young adults wearing red, yellow, and black shirts in a straight line perform a sketch.	A sketch perform young adults wearing red, yellow, and black shirts in a straight line.
135608578.jpg	1145	val	A group of children dance and play instruments under colored lights.	Instruments dance and play a group of children under colored lights.
1358398144.jpg	1155	val	A Young child is throwing a big rock into a body of water.	A big rock is throwing a young child into a body of water.
1358398144.jpg	1155	val	A young boy throws a big rock into a body of water.	A big rock throws a young boy into a body of water.
1358398144.jpg	1155	val	Young boy throws a rock into the water.	A rock throws young boy into the water.
135980645.jpg	1162	val	A blond woman is in her kitchen holding a knife and graham crackers as she is making pie with cranberries and cherries.	A knife and graham crackers is in her kitchen holding a blond woman as she is making pie with cranberries and cherries.
135980645.jpg	1162	val	Two women with short hair are facing each other and the blond one is talking.	Each other are facing two women with short hair and the blond one is talking.
135980645.jpg	1162	val	Two woman, one of which is cleaning her knife, are talking in the kitchen.	One of which is cleaning her knife, two woman are talking in the kitchen.
135980645.jpg	1162	val	Two women in white t-shirts, one holding a knife slicing a pastry.	A pastry slices two women in white t-shirts, one holding a knife.
1361790462.jpg	1168	val	Two people are wearing a Chinese dragon costume in front of an ornate Chinese gazebo with red pillars and the gazebo has two large red lanterns hanging from the roof.	A Chinese dragon costume are wearing two people in front of an ornate Chinese gazebo with red pillars and the gazebo has two large red lanterns hanging from the roof.
1361790462.jpg	1168	val	Two people in a traditional Japanese dragon costume perform in front of a small Japanese shrine with a man in a business suit standing in the back watching.	A small Japanese shrine perform two people in a traditional Japanese dragon costume in front of with a man in a business suit standing in the back watching.
1361790462.jpg	1168	val	An elaborate costumed figure is in front of a brightly decorated structure.	A brightly decorated structure is in front of an elaborate costumed figure.
1361790462.jpg	1168	val	A red chinese dragon costume stands in front of an Asian-style gazebo.	An Asian-style gazebo stands in front of a red chinese dragon costume.
1361790462.jpg	1168	val	A Chinese dragon is walking in front of a building.	A building is walking in front of a Chinese dragon.
1363843090.jpg	1182	val	A dog drags a white rag through an almost-dried up creek.	A white rag drags a dog through an almost-dried up creek.
1363843090.jpg	1182	val	A dog is wading in a river with a towel in its mouth.	A river is wading in a dog with a towel in its mouth.
1363843090.jpg	1182	val	A black dog retrieves a cloth from a streambed.	A cloth retrieves a black dog from a streambed.
1368338041.jpg	1209	val	Two white dogs look at one black dog on a paved walkway.	One black dog look at two white dogs on a paved walkway.
136886677.jpg	1212	val	A large man sits in the back of a canoe with another man in front on a river.	A canoe sits in the back of a large man with another man in front on a river.
136886677.jpg	1212	val	Two man are paddling a kayak along a river with green trees on either side.	A kayak are paddling two man along a river with green trees on either side.
136886677.jpg	1212	val	Two paddlers propel a canoe down a tree-lined stream.	A canoe propel two paddlers down a tree-lined stream.
1389264266.jpg	1271	val	Two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.	One has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt facing each other two girls.
1389264266.jpg	1271	val	A girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.	The girl walking next to her looks back while a girl with pink streaked hair and fur uggs looks at her.
1389264266.jpg	1271	val	Two girls wearing goth trendy clothing while one looks back at the camera.	The camera wearing goth trendy clothing while one looks back at Two girls.
1393205795.jpg	1286	val	A group of four girls are in the back of a vehicle looking at a book with a pink cover.	A book with a pink cover are in the back of a vehicle looking at a group of four girls.
1393205795.jpg	1286	val	Four young girls reading a book in the back of a car with boxes of produce.	A book reading four young girls in the back of a car with boxes of produce.
1393205795.jpg	1286	val	Several young girls are sitting in a minivan.	A minivan are sitting several young girls in.
1393205795.jpg	1286	val	A group of young girls peer at a book.	A book peer at a group of young girls.
1394319096.jpg	1293	val	People on the beach look up to the sky to see a large heart written in the air by the contrail of a plane.	A large heart written in the air by the contrail of a plane look up to the sky to see People on the beach.
1394319096.jpg	1293	val	As many gather on the beach to watch the air show, the planes make a heart in the sky.	"""The planes make as many on the beach to watch the air show a heart in the sky."""
1394319096.jpg	1293	val	People on the sand looking up at a white heart drawn by a jet in the blue sky.	A white heart drawn by a jet in the blue sky looking up at People on the sand.
1394319096.jpg	1293	val	The desert onlookers stared at the heart shaped cloud in the clear blue sky.	The heart shaped cloud stared at the desert onlookers in the clear blue sky.
1394319096.jpg	1293	val	Beach goers look at a heart left in the sky by a sky writer.	A heart left in the sky by a sky writer look at beach goers.
1405665934.jpg	1351	val	A woman in a white jacket and pink shorts is sitting down, reading a book with her head resting on her right hand.	A book is sitting down, reading a woman in a white jacket and pink shorts with her head resting on her right hand.
1405665934.jpg	1351	val	Sitting casually in a public place, a girl reads holding the book open with her hand on which is a butterfly ring.	The book reads holding a girl sitting casually in a public place with her hand on which is a butterfly ring.
1405665934.jpg	1351	val	A woman is sitting in a chair reading a book with her head resting on her free hand.	A book is sitting in a chair reading a woman with her head resting on her free hand.
1405665934.jpg	1351	val	A woman with a white jacket, and a silver butterfly ring, waits and reads a book.	A book waits and reads a woman with a white jacket, and a silver butterfly ring.
1405665934.jpg	1351	val	Woman in white sweater reading intently sitting on a bench.	A bench reading intently sitting on a woman in white sweater.
1409723496.jpg	1365	val	A man with dark hair is wearing a white shirt with printed flames and is holding a pair of tongs.	A white shirt with printed flames is wearing a man with dark hair and is holding a pair of tongs.
1409723496.jpg	1365	val	A man in a colorful button-up t-shirt is pouring what appears to be barbecue sauce onto something.	What appears to be barbecue sauce is pouring a man in a colorful button-up t-shirt onto something.
1409723496.jpg	1365	val	A man in a flame-themed shirt is looking at barbecue tools.	Barbecue tools is looking at a man in a flame-themed shirt.
1409723496.jpg	1365	val	An old man gets some barbecue	Some barbecue gets an old man
1410039760.jpg	1371	val	A man in a blue shirt and brown sports coat adjusts something in his hand.	Something in his hand adjusts a man in a blue shirt and brown sports coat.
1410039760.jpg	1371	val	An older man with glasses raises his eyebrows in surprise.	His eyebrows raises an older man with glasses in surprise.
1410039760.jpg	1371	val	A man in a suit and glass has an object in his hands.	An object in his hands has a man in a suit and glass.
1410039760.jpg	1371	val	Gentleman with glasses who is wearing a microphone.	Microphone wears a gentleman with glasses who is wearing a.
1410039760.jpg	1371	val	An older man with glasses looks surprised.	surprised looks an older man with glasses.
141126420.jpg	1378	val	Guy in black wetsuit is riding a wave with a white surfboard.	A wave wetsuit is riding a Guy in black with a white surfboard.
141126420.jpg	1378	val	A man is surfing in a wetsuit and is coming out of the curl.	A wetsuit is surfing in a man and is coming out of the curl.
141126420.jpg	1378	val	A man in a wetsuit catches a wave on his white surfboard.	A wave catches a man in a wetsuit on his white surfboard.
141126420.jpg	1378	val	A man in a black wetsuit is surfing on a wave.	A wave is surfing a man in a black wetsuit.
141186473.jpg	1382	val	An Asian woman sitting on a bench going through a pink laptop bag.	A pink laptop bag sitting on a bench going through an Asian woman.
141186473.jpg	1382	val	An Asian woman poses on a bench with shopping bags.	Shopping bags poses on a bench with an Asian woman.
141186473.jpg	1382	val	A woman in a blue blouse is handling a pink purse.	A pink purse is handling a woman in a blue blouse.
141186473.jpg	1382	val	A woman with a pink purse is sitting on a bench.	A bench is sitting a woman with a pink purse on.
1432734769.jpg	1478	val	Woman wearing a striped blouse sits among other women.	Other women wearing a striped blouse sits among woman.
1432734769.jpg	1478	val	Four women sit looking at something beyond the camera.	Something beyond the camera sit looking at four women.
1432734769.jpg	1478	val	Three older Asian women are sitting on the ground.	The ground are sitting Three older Asian women.
1436832881.jpg	1513	val	A red PlNe is flying by the queen Elisabeth 2 shooting out red smoke.	The queen Elisabeth 2 flying by a red PlNe is shooting out red smoke.
1436832881.jpg	1513	val	A red plane flying over a boat as it trails pink smoke.	A boat flying over a red plane as it trails pink smoke.
1436832881.jpg	1513	val	A red airplane is flying by a large ship.	A large ship is flying by a red airplane.
1436832881.jpg	1513	val	A plane flies over a large cruise ship.	A large cruise ship flies over a plane.
143688283.jpg	1516	val	A man in a white shirt and helmet is using climbing equipment.	Climbing equipment is using a man in a white shirt and helmet.
143688283.jpg	1516	val	A man with a white shirt and helmet is climbing a mountain.	A mountain is climbing a man with a white shirt and helmet.
143793054.jpg	1520	val	A man in an orange shirt and white hard hat stands in front of an orange construction vehicle as it dumps dirt into a truck.	An orange construction vehicle stands in front of a man in an orange shirt and white hard hat as it dumps dirt into a truck.
143793054.jpg	1520	val	Two construction workers assist in the loading of a dump truck at an urban construction site.	A dump truck assists two construction workers in the loading at an urban construction site.
143793054.jpg	1520	val	A bored looking construction worker is holding a drink.	A drink is holding a bored looking construction worker.
143793054.jpg	1520	val	Two men work hard loading up a flatbed truck	A flatbed truck work hard loading up two men
1438769690.jpg	1523	val	Truck filled with 5 gallons bottles in the back and a man on top looking at them.	5 gallons bottles filled with truck in the back and a man on top looking at them.
1438769690.jpg	1523	val	A woman in a colorful outfit is walking by a white truck filled with bottles.	A white truck filled with bottles is walking by a woman in a colorful outfit.
1438769690.jpg	1523	val	This Man, with a Red &amp; White Shirt has Water Bottles on this White Truck.	Water Bottles has This Man, with a Red & White Shirt on this White Truck.
1438769690.jpg	1523	val	A worker is in the cage at the top of the truck on a busy street.	The cage is in a worker at the top of the truck on a busy street.
1438769690.jpg	1523	val	A beat up old truck in the heart of a colorful town.	A colorful town in the heart of a beat up old truck.
